"StateCode","CauseOfLossBusnIncome","TypeOfRisk","EQCovIndicatorBusnIncome","AgreedValueBusnIncome","ExtendedPeriodApplies","DisplayValue","DataValue"
"CW","Broad","Educational Institutions","Yes, Included in Blanket","No","No","80%","80%"
"CW","Broad","Educational Institutions","Yes, Included in Blanket","No","No","90%","90%"
"CW","Broad","Educational Institutions","Yes, Included in Blanket","No","No","100%","100%"
"CW","Broad","Educational Institutions","Yes, Included in Blanket","No","No","125%","125%"
"CW","Broad","Educational Institutions","Yes, Included in Blanket","Not Applicable","No","No Coinsurance","No Coinsurance"
"CW","Broad","Educational Institutions","Yes, Included in Blanket","Yes","No","50%","50%"
"CW","Broad","Educational Institutions","Yes, Included in Blanket","Yes","No","60%","60%"
"CW","Broad","Educational Institutions","Yes, Included in Blanket","Yes","No","70%","70%"
"CW","Broad","Educational Institutions","Yes, Included in Blanket","Yes","No","80%","80%"
"CW","Broad","Educational Institutions","Yes, Included in Blanket","Yes","No","90%","90%"
"CW","Broad","Educational Institutions","Yes, Included in Blanket","Yes","No","100%","100%"
"CW","Broad","Educational Institutions","Yes, Included in Blanket","Yes","No","125%","125%"
"CW","Broad","Manufacturing","Yes, Included in Blanket","No","No","50%","50%"
"CW","Broad","Manufacturing","Yes, Included in Blanket","No","No","60%","60%"
"CW","Broad","Manufacturing","Yes, Included in Blanket","No","No","70%","70%"
"CW","Broad","Manufacturing","Yes, Included in Blanket","No","No","80%","80%"
"CW","Broad","Manufacturing","Yes, Included in Blanket","No","No","90%","90%"
"CW","Broad","Manufacturing","Yes, Included in Blanket","No","No","100%","100%"
"CW","Broad","Manufacturing","Yes, Included in Blanket","No","No","125%","125%"
"CW","Broad","Manufacturing","Yes, Included in Blanket","Not Applicable","No","No Coinsurance","No Coinsurance"
"CW","Broad","Manufacturing","Yes, Included in Blanket","Yes","No","50%","50%"
"CW","Broad","Manufacturing","Yes, Included in Blanket","Yes","No","60%","60%"
"CW","Broad","Manufacturing","Yes, Included in Blanket","Yes","No","70%","70%"
"CW","Broad","Manufacturing","Yes, Included in Blanket","Yes","No","80%","80%"
"CW","Broad","Manufacturing","Yes, Included in Blanket","Yes","No","90%","90%"
"CW","Broad","Manufacturing","Yes, Included in Blanket","Yes","No","100%","100%"
"CW","Broad","Manufacturing","Yes, Included in Blanket","Yes","No","125%","125%"
"CW","Broad","Mercantile and Non-manufacturing","Yes, Included in Blanket","No","No","50%","50%"
"CW","Broad","Mercantile and Non-manufacturing","Yes, Included in Blanket","No","No","60%","60%"
"CW","Broad","Mercantile and Non-manufacturing","Yes, Included in Blanket","No","No","70%","70%"
"CW","Broad","Mercantile and Non-manufacturing","Yes, Included in Blanket","No","No","80%","80%"
"CW","Broad","Mercantile and Non-manufacturing","Yes, Included in Blanket","No","No","90%","90%"
"CW","Broad","Mercantile and Non-manufacturing","Yes, Included in Blanket","No","No","100%","100%"
"CW","Broad","Mercantile and Non-manufacturing","Yes, Included in Blanket","No","No","125%","125%"
"CW","Broad","Mercantile and Non-manufacturing","Yes, Included in Blanket","Not Applicable","No","No Coinsurance","No Coinsurance"
"CW","Broad","Mercantile and Non-manufacturing","Yes, Included in Blanket","Yes","No","50%","50%"
"CW","Broad","Mercantile and Non-manufacturing","Yes, Included in Blanket","Yes","No","60%","60%"
"CW","Broad","Mercantile and Non-manufacturing","Yes, Included in Blanket","Yes","No","70%","70%"
"CW","Broad","Mercantile and Non-manufacturing","Yes, Included in Blanket","Yes","No","80%","80%"
"CW","Broad","Mercantile and Non-manufacturing","Yes, Included in Blanket","Yes","No","90%","90%"
"CW","Broad","Mercantile and Non-manufacturing","Yes, Included in Blanket","Yes","No","100%","100%"
"CW","Broad","Mercantile and Non-manufacturing","Yes, Included in Blanket","Yes","No","125%","125%"
"CW","Broad","Mining","Yes, Included in Blanket","No","No","50%","50%"
"CW","Broad","Mining","Yes, Included in Blanket","No","No","60%","60%"
"CW","Broad","Mining","Yes, Included in Blanket","No","No","70%","70%"
"CW","Broad","Mining","Yes, Included in Blanket","No","No","80%","80%"
"CW","Broad","Mining","Yes, Included in Blanket","No","No","90%","90%"
"CW","Broad","Mining","Yes, Included in Blanket","No","No","100%","100%"
"CW","Broad","Mining","Yes, Included in Blanket","No","No","125%","125%"
"CW","Broad","Mining","Yes, Included in Blanket","Yes","No","50%","50%"
"CW","Broad","Mining","Yes, Included in Blanket","Yes","No","60%","60%"
"CW","Broad","Mining","Yes, Included in Blanket","Yes","No","70%","70%"
"CW","Broad","Mining","Yes, Included in Blanket","Yes","No","80%","80%"
"CW","Broad","Mining","Yes, Included in Blanket","Yes","No","90%","90%"
"CW","Broad","Mining","Yes, Included in Blanket","Yes","No","100%","100%"
"CW","Broad","Mining","Yes, Included in Blanket","Yes","No","125%","125%"
"CW","Broad","Rental Properties","Yes, Included in Blanket","No","No","50%","50%"
"CW","Broad","Rental Properties","Yes, Included in Blanket","No","No","60%","60%"
"CW","Broad","Rental Properties","Yes, Included in Blanket","No","No","70%","70%"
"CW","Broad","Rental Properties","Yes, Included in Blanket","No","No","80%","80%"
"CW","Broad","Rental Properties","Yes, Included in Blanket","No","No","90%","90%"
"CW","Broad","Rental Properties","Yes, Included in Blanket","No","No","100%","100%"
"CW","Broad","Rental Properties","Yes, Included in Blanket","No","No","125%","125%"
"CW","Broad","Rental Properties","Yes, Included in Blanket","Not Applicable","No","No Coinsurance","No Coinsurance"
"CW","Broad","Rental Properties","Yes, Included in Blanket","Yes","No","50%","50%"
"CW","Broad","Rental Properties","Yes, Included in Blanket","Yes","No","60%","60%"
"CW","Broad","Rental Properties","Yes, Included in Blanket","Yes","No","70%","70%"
"CW","Broad","Rental Properties","Yes, Included in Blanket","Yes","No","80%","80%"
"CW","Broad","Rental Properties","Yes, Included in Blanket","Yes","No","90%","90%"
"CW","Broad","Rental Properties","Yes, Included in Blanket","Yes","No","100%","100%"
"CW","Broad","Rental Properties","Yes, Included in Blanket","Yes","No","125%","125%"
"CW","Broad","Seasonal Leases with Monthly Limit","Yes, Included in Blanket","No","No","100%","100%"
"CW","Broad","Seasonal Leases with Monthly Limit","Yes, Included in Blanket","Not Applicable","No","100%","100%"
"CW","Broad","Seasonal Leases with Monthly Limit","Yes, Included in Blanket","Yes","No","100%","100%"
"CW","Special","Combined Educational Institutes and Rental Operations","Yes, Included in Blanket","No","No","50%","50%"
"CW","Special","Combined Educational Institutes and Rental Operations","Yes, Included in Blanket","No","No","60%","60%"
"CW","Special","Combined Educational Institutes and Rental Operations","Yes, Included in Blanket","No","No","70%","70%"
"CW","Special","Combined Educational Institutes and Rental Operations","Yes, Included in Blanket","No","No","80%","80%"
"CW","Special","Combined Educational Institutes and Rental Operations","Yes, Included in Blanket","No","No","90%","90%"
"CW","Special","Combined Educational Institutes and Rental Operations","Yes, Included in Blanket","No","No","100%","100%"
"CW","Special","Combined Educational Institutes and Rental Operations","Yes, Included in Blanket","No","No","125%","125%"
"CW","Special","Combined Educational Institutes and Rental Operations","Yes, Included in Blanket","Not Applicable","No","No Coinsurance","No Coinsurance"
"CW","Special","Combined Educational Institutes and Rental Operations","Yes, Included in Blanket","Yes","No","50%","50%"
"CW","Special","Combined Educational Institutes and Rental Operations","Yes, Included in Blanket","Yes","No","60%","60%"
"CW","Special","Combined Educational Institutes and Rental Operations","Yes, Included in Blanket","Yes","No","70%","70%"
"CW","Special","Combined Educational Institutes and Rental Operations","Yes, Included in Blanket","Yes","No","80%","80%"
"CW","Special","Combined Educational Institutes and Rental Operations","Yes, Included in Blanket","Yes","No","90%","90%"
"CW","Special","Combined Educational Institutes and Rental Operations","Yes, Included in Blanket","Yes","No","100%","100%"
"CW","Special","Combined Educational Institutes and Rental Operations","Yes, Included in Blanket","Yes","No","125%","125%"
"CW","Special","Combined Manufacturing and Mercantile Operations","Yes, Included in Blanket","No","No","50%","50%"
"CW","Special","Combined Manufacturing and Mercantile Operations","Yes, Included in Blanket","No","No","60%","60%"
"CW","Special","Combined Manufacturing and Mercantile Operations","Yes, Included in Blanket","No","No","70%","70%"
"CW","Special","Combined Manufacturing and Mercantile Operations","Yes, Included in Blanket","No","No","80%","80%"
"CW","Special","Combined Manufacturing and Mercantile Operations","Yes, Included in Blanket","No","No","90%","90%"
"CW","Special","Combined Manufacturing and Mercantile Operations","Yes, Included in Blanket","No","No","100%","100%"
"CW","Special","Combined Manufacturing and Mercantile Operations","Yes, Included in Blanket","No","No","125%","125%"
"CW","Special","Combined Manufacturing and Mercantile Operations","Yes, Included in Blanket","Not Applicable","No","No Coinsurance","No Coinsurance"
"CW","Special","Combined Manufacturing and Mercantile Operations","Yes, Included in Blanket","Yes","No","50%","50%"
"CW","Special","Combined Manufacturing and Mercantile Operations","Yes, Included in Blanket","Yes","No","60%","60%"
"CW","Special","Combined Manufacturing and Mercantile Operations","Yes, Included in Blanket","Yes","No","70%","70%"
"CW","Special","Combined Manufacturing and Mercantile Operations","Yes, Included in Blanket","Yes","No","80%","80%"
"CW","Special","Combined Manufacturing and Mercantile Operations","Yes, Included in Blanket","Yes","No","90%","90%"
"CW","Special","Combined Manufacturing and Mercantile Operations","Yes, Included in Blanket","Yes","No","100%","100%"
"CW","Special","Combined Manufacturing and Mercantile Operations","Yes, Included in Blanket","Yes","No","125%","125%"
"CW","Special","Combined Manufacturing and Rental Operations","Yes, Included in Blanket","No","No","50%","50%"
"CW","Special","Combined Manufacturing and Rental Operations","Yes, Included in Blanket","No","No","60%","60%"
"CW","Special","Combined Manufacturing and Rental Operations","Yes, Included in Blanket","No","No","70%","70%"
"CW","Special","Combined Manufacturing and Rental Operations","Yes, Included in Blanket","No","No","80%","80%"
"CW","Special","Combined Manufacturing and Rental Operations","Yes, Included in Blanket","No","No","90%","90%"
"CW","Special","Combined Manufacturing and Rental Operations","Yes, Included in Blanket","No","No","100%","100%"
"CW","Special","Combined Manufacturing and Rental Operations","Yes, Included in Blanket","No","No","125%","125%"
"CW","Special","Combined Manufacturing and Rental Operations","Yes, Included in Blanket","Not Applicable","No","No Coinsurance","No Coinsurance"
"CW","Special","Combined Manufacturing and Rental Operations","Yes, Included in Blanket","Yes","No","50%","50%"
"CW","Special","Combined Manufacturing and Rental Operations","Yes, Included in Blanket","Yes","No","60%","60%"
"CW","Special","Combined Manufacturing and Rental Operations","Yes, Included in Blanket","Yes","No","70%","70%"
"CW","Special","Combined Manufacturing and Rental Operations","Yes, Included in Blanket","Yes","No","80%","80%"
"CW","Special","Combined Manufacturing and Rental Operations","Yes, Included in Blanket","Yes","No","90%","90%"
"CW","Special","Combined Manufacturing and Rental Operations","Yes, Included in Blanket","Yes","No","100%","100%"
"CW","Special","Combined Manufacturing and Rental Operations","Yes, Included in Blanket","Yes","No","125%","125%"
"CW","Special","Combined Mercantile and Rental Operations","Yes, Included in Blanket","No","No","50%","50%"
"CW","Special","Combined Mercantile and Rental Operations","Yes, Included in Blanket","No","No","60%","60%"
"CW","Special","Combined Mercantile and Rental Operations","Yes, Included in Blanket","No","No","70%","70%"
"CW","Special","Combined Mercantile and Rental Operations","Yes, Included in Blanket","No","No","80%","80%"
"CW","Special","Combined Mercantile and Rental Operations","Yes, Included in Blanket","No","No","90%","90%"
"CW","Special","Combined Mercantile and Rental Operations","Yes, Included in Blanket","No","No","100%","100%"
"CW","Special","Combined Mercantile and Rental Operations","Yes, Included in Blanket","No","No","125%","125%"
"CW","Special","Combined Mercantile and Rental Operations","Yes, Included in Blanket","Not Applicable","No","No Coinsurance","No Coinsurance"
"CW","Special","Combined Mercantile and Rental Operations","Yes, Included in Blanket","Yes","No","50%","50%"
"CW","Special","Combined Mercantile and Rental Operations","Yes, Included in Blanket","Yes","No","60%","60%"
"CW","Special","Combined Mercantile and Rental Operations","Yes, Included in Blanket","Yes","No","70%","70%"
"CW","Special","Combined Mercantile and Rental Operations","Yes, Included in Blanket","Yes","No","80%","80%"
"CW","Special","Combined Mercantile and Rental Operations","Yes, Included in Blanket","Yes","No","90%","90%"
"CW","Special","Combined Mercantile and Rental Operations","Yes, Included in Blanket","Yes","No","100%","100%"
"CW","Special","Combined Mercantile and Rental Operations","Yes, Included in Blanket","Yes","No","125%","125%"
"CW","Special","Educational Institutions","Yes, Included in Blanket","No","No","50%","50%"
"CW","Special","Educational Institutions","Yes, Included in Blanket","No","No","60%","60%"
"CW","Special","Educational Institutions","Yes, Included in Blanket","No","No","70%","70%"
"CW","Special","Educational Institutions","Yes, Included in Blanket","No","No","80%","80%"
"CW","Special","Educational Institutions","Yes, Included in Blanket","No","No","90%","90%"
"CW","Special","Educational Institutions","Yes, Included in Blanket","No","No","100%","100%"
"CW","Special","Educational Institutions","Yes, Included in Blanket","No","No","125%","125%"
"CW","Special","Educational Institutions","Yes, Included in Blanket","Not Applicable","No","No Coinsurance","No Coinsurance"
"CW","Special","Educational Institutions","Yes, Included in Blanket","Yes","No","50%","50%"
"CW","Special","Educational Institutions","Yes, Included in Blanket","Yes","No","60%","60%"
"CW","Special","Educational Institutions","Yes, Included in Blanket","Yes","No","70%","70%"
"CW","Special","Educational Institutions","Yes, Included in Blanket","Yes","No","80%","80%"
"CW","Special","Educational Institutions","Yes, Included in Blanket","Yes","No","90%","90%"
"CW","Special","Educational Institutions","Yes, Included in Blanket","Yes","No","100%","100%"
"CW","Special","Educational Institutions","Yes, Included in Blanket","Yes","No","125%","125%"
"CW","Special","Manufacturing","Yes, Included in Blanket","No","No","50%","50%"
"CW","Special","Manufacturing","Yes, Included in Blanket","No","No","60%","60%"
"CW","Special","Manufacturing","Yes, Included in Blanket","No","No","70%","70%"
"CW","Special","Manufacturing","Yes, Included in Blanket","No","No","80%","80%"
"CW","Special","Manufacturing","Yes, Included in Blanket","No","No","90%","90%"
"CW","Special","Manufacturing","Yes, Included in Blanket","No","No","100%","100%"
"CW","Special","Manufacturing","Yes, Included in Blanket","No","No","125%","125%"
"CW","Special","Manufacturing","Yes, Included in Blanket","Not Applicable","No","No Coinsurance","No Coinsurance"
"CW","Special","Manufacturing","Yes, Included in Blanket","Yes","No","50%","50%"
"CW","Special","Manufacturing","Yes, Included in Blanket","Yes","No","60%","60%"
"CW","Special","Manufacturing","Yes, Included in Blanket","Yes","No","70%","70%"
"CW","Special","Manufacturing","Yes, Included in Blanket","Yes","No","80%","80%"
"CW","Special","Manufacturing","Yes, Included in Blanket","Yes","No","90%","90%"
"CW","Special","Manufacturing","Yes, Included in Blanket","Yes","No","100%","100%"
"CW","Special","Manufacturing","Yes, Included in Blanket","Yes","No","125%","125%"
"CW","Special","Mercantile and Non-manufacturing","Yes, Included in Blanket","No","No","50%","50%"
"CW","Special","Mercantile and Non-manufacturing","Yes, Included in Blanket","No","No","60%","60%"
"CW","Special","Mercantile and Non-manufacturing","Yes, Included in Blanket","No","No","70%","70%"
"CW","Special","Mercantile and Non-manufacturing","Yes, Included in Blanket","No","No","80%","80%"
"CW","Special","Mercantile and Non-manufacturing","Yes, Included in Blanket","No","No","90%","90%"
"CW","Special","Mercantile and Non-manufacturing","Yes, Included in Blanket","No","No","100%","100%"
"CW","Special","Mercantile and Non-manufacturing","Yes, Included in Blanket","No","No","125%","125%"
"CW","Special","Mercantile and Non-manufacturing","Yes, Included in Blanket","Not Applicable","No","No Coinsurance","No Coinsurance"
"CW","Special","Mercantile and Non-manufacturing","Yes, Included in Blanket","Yes","No","50%","50%"
"CW","Special","Mercantile and Non-manufacturing","Yes, Included in Blanket","Yes","No","60%","60%"
"CW","Special","Mercantile and Non-manufacturing","Yes, Included in Blanket","Yes","No","70%","70%"
"CW","Special","Mercantile and Non-manufacturing","Yes, Included in Blanket","Yes","No","80%","80%"
"CW","Special","Mercantile and Non-manufacturing","Yes, Included in Blanket","Yes","No","90%","90%"
"CW","Special","Mercantile and Non-manufacturing","Yes, Included in Blanket","Yes","No","100%","100%"
"CW","Special","Mercantile and Non-manufacturing","Yes, Included in Blanket","Yes","No","125%","125%"
"CW","Special","Mining","Yes, Included in Blanket","No","No","50%","50%"
"CW","Special","Mining","Yes, Included in Blanket","No","No","60%","60%"
"CW","Special","Mining","Yes, Included in Blanket","No","No","70%","70%"
"CW","Special","Mining","Yes, Included in Blanket","No","No","80%","80%"
"CW","Special","Mining","Yes, Included in Blanket","No","No","90%","90%"
"CW","Special","Mining","Yes, Included in Blanket","No","No","100%","100%"
"CW","Special","Mining","Yes, Included in Blanket","No","No","125%","125%"
"CW","Special","Mining","Yes, Included in Blanket","Yes","No","50%","50%"
"CW","Special","Mining","Yes, Included in Blanket","Yes","No","60%","60%"
"CW","Special","Mining","Yes, Included in Blanket","Yes","No","70%","70%"
"CW","Special","Mining","Yes, Included in Blanket","Yes","No","80%","80%"
"CW","Special","Mining","Yes, Included in Blanket","Yes","No","90%","90%"
"CW","Special","Mining","Yes, Included in Blanket","Yes","No","100%","100%"
"CW","Special","Mining","Yes, Included in Blanket","Yes","No","125%","125%"
"CW","Special","Rental Properties","Yes, Included in Blanket","No","No","50%","50%"
"CW","Special","Rental Properties","Yes, Included in Blanket","No","No","60%","60%"
"CW","Special","Rental Properties","Yes, Included in Blanket","No","No","70%","70%"
"CW","Special","Rental Properties","Yes, Included in Blanket","No","No","80%","80%"
"CW","Special","Rental Properties","Yes, Included in Blanket","No","No","90%","90%"
"CW","Special","Rental Properties","Yes, Included in Blanket","No","No","100%","100%"
"CW","Special","Rental Properties","Yes, Included in Blanket","No","No","125%","125%"
"CW","Special","Rental Properties","Yes, Included in Blanket","Not Applicable","No","No Coinsurance","No Coinsurance"
"CW","Special","Rental Properties","Yes, Included in Blanket","Yes","No","50%","50%"
"CW","Special","Rental Properties","Yes, Included in Blanket","Yes","No","60%","60%"
"CW","Special","Rental Properties","Yes, Included in Blanket","Yes","No","70%","70%"
"CW","Special","Rental Properties","Yes, Included in Blanket","Yes","No","80%","80%"
"CW","Special","Rental Properties","Yes, Included in Blanket","Yes","No","90%","90%"
"CW","Special","Rental Properties","Yes, Included in Blanket","Yes","No","100%","100%"
"CW","Special","Rental Properties","Yes, Included in Blanket","Yes","No","125%","125%"
"CW","Special","Seasonal Leases with Monthly Limit","Yes, Included in Blanket","No","No","100%","100%"
"CW","Special","Seasonal Leases with Monthly Limit","Yes, Included in Blanket","Not Applicable","No","100%","100%"
"CW","Special","Seasonal Leases with Monthly Limit","Yes, Included in Blanket","Yes","No","100%","100%"
"CW","Basic","Combined Educational Institutes and Rental Operations","Yes, Not Included in Blanket","No","No","No Coinsurance","No Coinsurance"
"CW","Basic","Combined Educational Institutes and Rental Operations","Yes, Not Included in Blanket","No","No","50%","50%"
"CW","Basic","Combined Educational Institutes and Rental Operations","Yes, Not Included in Blanket","No","No","60%","60%"
"CW","Basic","Combined Educational Institutes and Rental Operations","Yes, Not Included in Blanket","No","No","70%","70%"
"CW","Basic","Combined Educational Institutes and Rental Operations","Yes, Not Included in Blanket","No","No","80%","80%"
"CW","Basic","Combined Educational Institutes and Rental Operations","Yes, Not Included in Blanket","No","No","90%","90%"
"CW","Basic","Combined Educational Institutes and Rental Operations","Yes, Not Included in Blanket","No","No","100%","100%"
"CW","Basic","Combined Educational Institutes and Rental Operations","Yes, Not Included in Blanket","No","No","125%","125%"
"CW","Basic","Combined Educational Institutes and Rental Operations","Yes, Not Included in Blanket","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Basic","Combined Educational Institutes and Rental Operations","Yes, Not Included in Blanket","Yes","No","50%","50%"
"CW","Basic","Combined Educational Institutes and Rental Operations","Yes, Not Included in Blanket","Yes","No","60%","60%"
"CW","Basic","Combined Educational Institutes and Rental Operations","Yes, Not Included in Blanket","Yes","No","70%","70%"
"CW","Basic","Combined Educational Institutes and Rental Operations","Yes, Not Included in Blanket","Yes","No","80%","80%"
"CW","Basic","Combined Educational Institutes and Rental Operations","Yes, Not Included in Blanket","Yes","No","90%","90%"
"CW","Basic","Combined Educational Institutes and Rental Operations","Yes, Not Included in Blanket","Yes","No","100%","100%"
"CW","Basic","Combined Educational Institutes and Rental Operations","Yes, Not Included in Blanket","Yes","No","125%","125%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","Yes, Not Included in Blanket","No","No","No Coinsurance","No Coinsurance"
"CW","Basic","Combined Manufacturing and Mercantile Operations","Yes, Not Included in Blanket","No","No","50%","50%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","Yes, Not Included in Blanket","No","No","60%","60%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","Yes, Not Included in Blanket","No","No","70%","70%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","Yes, Not Included in Blanket","No","No","80%","80%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","Yes, Not Included in Blanket","No","No","90%","90%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","Yes, Not Included in Blanket","No","No","100%","100%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","Yes, Not Included in Blanket","No","No","125%","125%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","Yes, Not Included in Blanket","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Basic","Combined Manufacturing and Mercantile Operations","Yes, Not Included in Blanket","Yes","No","50%","50%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","Yes, Not Included in Blanket","Yes","No","60%","60%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","Yes, Not Included in Blanket","Yes","No","70%","70%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","Yes, Not Included in Blanket","Yes","No","80%","80%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","Yes, Not Included in Blanket","Yes","No","90%","90%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","Yes, Not Included in Blanket","Yes","No","100%","100%"
"CW","Basic","Combined Manufacturing and Mercantile Operations","Yes, Not Included in Blanket","Yes","No","125%","125%"
"CW","Basic","Combined Manufacturing and Rental Operations","Yes, Not Included in Blanket","No","No","No Coinsurance","No Coinsurance"
"CW","Basic","Combined Manufacturing and Rental Operations","Yes, Not Included in Blanket","No","No","50%","50%"
"CW","Basic","Combined Manufacturing and Rental Operations","Yes, Not Included in Blanket","No","No","60%","60%"
"CW","Basic","Combined Manufacturing and Rental Operations","Yes, Not Included in Blanket","No","No","70%","70%"
"CW","Basic","Combined Manufacturing and Rental Operations","Yes, Not Included in Blanket","No","No","80%","80%"
"CW","Basic","Combined Manufacturing and Rental Operations","Yes, Not Included in Blanket","No","No","90%","90%"
"CW","Basic","Combined Manufacturing and Rental Operations","Yes, Not Included in Blanket","No","No","100%","100%"
"CW","Basic","Combined Manufacturing and Rental Operations","Yes, Not Included in Blanket","No","No","125%","125%"
"CW","Basic","Combined Manufacturing and Rental Operations","Yes, Not Included in Blanket","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Basic","Combined Manufacturing and Rental Operations","Yes, Not Included in Blanket","Yes","No","50%","50%"
"CW","Basic","Combined Manufacturing and Rental Operations","Yes, Not Included in Blanket","Yes","No","60%","60%"
"CW","Basic","Combined Manufacturing and Rental Operations","Yes, Not Included in Blanket","Yes","No","70%","70%"
"CW","Basic","Combined Manufacturing and Rental Operations","Yes, Not Included in Blanket","Yes","No","80%","80%"
"CW","Basic","Combined Manufacturing and Rental Operations","Yes, Not Included in Blanket","Yes","No","90%","90%"
"CW","Basic","Combined Manufacturing and Rental Operations","Yes, Not Included in Blanket","Yes","No","100%","100%"
"CW","Basic","Combined Manufacturing and Rental Operations","Yes, Not Included in Blanket","Yes","No","125%","125%"
"CW","Basic","Combined Mercantile and Rental Operations","Yes, Not Included in Blanket","No","No","No Coinsurance","No Coinsurance"
"CW","Basic","Combined Mercantile and Rental Operations","Yes, Not Included in Blanket","No","No","50%","50%"
"CW","Basic","Combined Mercantile and Rental Operations","Yes, Not Included in Blanket","No","No","60%","60%"
"CW","Basic","Combined Mercantile and Rental Operations","Yes, Not Included in Blanket","No","No","70%","70%"
"CW","Basic","Combined Mercantile and Rental Operations","Yes, Not Included in Blanket","No","No","80%","80%"
"CW","Basic","Combined Mercantile and Rental Operations","Yes, Not Included in Blanket","No","No","90%","90%"
"CW","Basic","Combined Mercantile and Rental Operations","Yes, Not Included in Blanket","No","No","100%","100%"
"CW","Basic","Combined Mercantile and Rental Operations","Yes, Not Included in Blanket","No","No","125%","125%"
"CW","Basic","Combined Mercantile and Rental Operations","Yes, Not Included in Blanket","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Basic","Combined Mercantile and Rental Operations","Yes, Not Included in Blanket","Yes","No","50%","50%"
"CW","Basic","Combined Mercantile and Rental Operations","Yes, Not Included in Blanket","Yes","No","60%","60%"
"CW","Basic","Combined Mercantile and Rental Operations","Yes, Not Included in Blanket","Yes","No","70%","70%"
"CW","Basic","Combined Mercantile and Rental Operations","Yes, Not Included in Blanket","Yes","No","80%","80%"
"CW","Basic","Combined Mercantile and Rental Operations","Yes, Not Included in Blanket","Yes","No","90%","90%"
"CW","Basic","Combined Mercantile and Rental Operations","Yes, Not Included in Blanket","Yes","No","100%","100%"
"CW","Basic","Combined Mercantile and Rental Operations","Yes, Not Included in Blanket","Yes","No","125%","125%"
"CW","Basic","Educational Institutions","Yes, Not Included in Blanket","No","No","50%","50%"
"CW","Basic","Educational Institutions","Yes, Not Included in Blanket","No","No","60%","60%"
"CW","Basic","Educational Institutions","Yes, Not Included in Blanket","No","No","70%","70%"
"CW","Basic","Educational Institutions","Yes, Not Included in Blanket","No","No","80%","80%"
"CW","Basic","Educational Institutions","Yes, Not Included in Blanket","No","No","90%","90%"
"CW","Basic","Educational Institutions","Yes, Not Included in Blanket","No","No","100%","100%"
"CW","Basic","Educational Institutions","Yes, Not Included in Blanket","No","No","125%","125%"
"CW","Basic","Educational Institutions","Yes, Not Included in Blanket","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Basic","Educational Institutions","Yes, Not Included in Blanket","Yes","No","50%","50%"
"CW","Basic","Educational Institutions","Yes, Not Included in Blanket","Yes","No","60%","60%"
"CW","Basic","Educational Institutions","Yes, Not Included in Blanket","Yes","No","70%","70%"
"CW","Basic","Educational Institutions","Yes, Not Included in Blanket","Yes","No","80%","80%"
"CW","Basic","Educational Institutions","Yes, Not Included in Blanket","Yes","No","90%","90%"
"CW","Basic","Educational Institutions","Yes, Not Included in Blanket","Yes","No","100%","100%"
"CW","Basic","Educational Institutions","Yes, Not Included in Blanket","Yes","No","125%","125%"
"CW","Basic","Manufacturing","Yes, Not Included in Blanket","No","No","No Coinsurance","No Coinsurance"
"CW","Basic","Manufacturing","Yes, Not Included in Blanket","No","No","50%","50%"
"CW","Basic","Manufacturing","Yes, Not Included in Blanket","No","No","60%","60%"
"CW","Basic","Manufacturing","Yes, Not Included in Blanket","No","No","70%","70%"
"CW","Basic","Manufacturing","Yes, Not Included in Blanket","No","No","80%","80%"
"CW","Basic","Manufacturing","Yes, Not Included in Blanket","No","No","90%","90%"
"CW","Basic","Manufacturing","Yes, Not Included in Blanket","No","No","100%","100%"
"CW","Basic","Manufacturing","Yes, Not Included in Blanket","No","No","125%","125%"
"CW","Basic","Manufacturing","Yes, Not Included in Blanket","Not Applicable","No","Not Applicable","Not Applicable"
"CW","Basic","Manufacturing","Yes, Not Included in Blanket","Yes","No","50%","50%"
"CW","Basic","Manufacturing","Yes, Not Included in Blanket","Yes","No","60%","60%"
"CW","Basic","Manufacturing","Yes, Not Included in Blanket","Yes","No","70%","70%"
"CW","Basic","Manufacturing","Yes, Not Included in Blanket","Yes","No","80%","80%"
"CW","Basic","Manufacturing","Yes, Not Included in Blanket","Yes","No","90%","90%"
"CW","Basic","Manufacturing","Yes, Not Included in Blanket","Yes","No","100%","100%"
"CW","Basic","Manufacturing","Yes, Not Included in Blanket","Yes","No","125%","125%"
"CW","Basic","Mercantile and Non-manufacturing","Yes, Not Included in Blanket","No","No","No Coinsurance","No Coinsurance"
