"StateCode","CovTypeBldg","EQCauseOfLossForm","EQSubLimitBlktIndicator","BlktRated","DisplayValue","DataValue"
"CW","Legal Liability","Not Applicable","Yes","No","No Coverage","No Coverage"
"CW","Legal Liability","Not Applicable","No","Yes","No Coverage","No Coverage"
"CW","Legal Liability","Not Applicable","No","No","No Coverage","No Coverage"
"CW","No Coverage","Earthquake Form (CP 10 40)","Yes","Yes","Not Applicable","Not Applicable"
"CW","No Coverage","Earthquake Form (CP 10 40)","Yes","No","Not Applicable","Not Applicable"
"CW","No Coverage","Earthquake Form (CP 10 40)","No","Yes","Not Applicable","Not Applicable"
"CW","No Coverage","Earthquake Form (CP 10 40)","No","No","Not Applicable","Not Applicable"
"CW","No Coverage","Earthquake Form (CP 10 28)","Yes","Yes","Not Applicable","Not Applicable"
"CW","No Coverage","Earthquake Form (CP 10 28)","Yes","No","Not Applicable","Not Applicable"
"CW","No Coverage","Earthquake Form (CP 10 28)","No","Yes","Not Applicable","Not Applicable"
"CW","No Coverage","Earthquake Form (CP 10 28)","No","No","Not Applicable","Not Applicable"
"CW","No Coverage","Earthquake Sub-Limit Form (CP 10 45)","Yes","Yes","Not Applicable","Not Applicable"
"CW","No Coverage","Earthquake Sub-Limit Form (CP 10 45)","Yes","No","Not Applicable","Not Applicable"
"CW","No Coverage","Earthquake Sub-Limit Form (CP 10 45)","No","Yes","Not Applicable","Not Applicable"
"CW","No Coverage","Earthquake Sub-Limit Form (CP 10 45)","No","No","Not Applicable","Not Applicable"
"CW","No Coverage","Earthquake Sub-Limit Form (CP 10 29)","Yes","Yes","Not Applicable","Not Applicable"
"CW","No Coverage","Earthquake Sub-Limit Form (CP 10 29)","Yes","No","Not Applicable","Not Applicable"
"CW","No Coverage","Earthquake Sub-Limit Form (CP 10 29)","No","Yes","Not Applicable","Not Applicable"
"CW","No Coverage","Earthquake Sub-Limit Form (CP 10 29)","No","No","Not Applicable","Not Applicable"
"CW","No Coverage","Not Applicable","Yes","Yes","Not Applicable","Not Applicable"
"CW","No Coverage","Not Applicable","Yes","No","Not Applicable","Not Applicable"
"CW","No Coverage","Not Applicable","No","Yes","Not Applicable","Not Applicable"
"CW","No Coverage","Not Applicable","No","No","Not Applicable","Not Applicable"
